-22.5,Unnamed: 0,14.93,Unnamed: 1,Unnamed: 2,II,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
-43.4,,19.86,,,II,,,,,,
-57.2,,22.23,,,II,,,,,,
-58,,22.5,,,II,,,,,,
-63.6,,23.21,,,II,,,,,,
-69.2,,24.20,,,II,,,,,,
-75.7,,25.20,,,II,,,,,,
-80 33.9,,25.3 a,ice,+,LiCl·5H,0.0,,,,eutectic point,
,,,,,2,,,,,,
-73.9,,26.05,LiCI·5H,,0,,,,,,
,,,,,2,,,,,,
-70,,27.57,,,II,,,,,,
-66,,30.90,,,II,,,,,metastable,point
-68 40.3,,28.7a,LiCl·5H,,0 + LiCl·3H,,,,0.0,peritectic,point
,,,,,2,,,2.0,,,
-61,,29.52,LiCl·3H,,02,,,,,,
-50.6,,30.90,,,II,,,,,,
-42.2,,32.14,,,II,,,,,,
-27.7,,34.61,,,II,,,,,,
-23.7,,35.85,,,II,,,,,,
-20 58.4,,58.4a,LiCI·3H,,0 + LiCl·2H,,,,0.0,peritectic,point
,,,,,2,,,2.0,,,
-35.5,,35.77,LiCl·2H,,0,,,,,metastable,point
,,,,,2,,,,,,
-20 (about),,37.0,,,II,,,,,,
-11. 7,,38.32,,,II,,,,,,
-5.3,,39.25,,,II,,,,,,
12.5 68,,40.5a,LiCl·2H,,0 + LiCl·H,,,,0.0,peritectic,point
,,,,,2,,,2.0,,,
100.5 130,,56.5a,LiCl·H,,0 + LiCI,,,,,peritectic,point
