0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,d
t/ ° C,,g/kg,b,c mass  %,,c mol/kg,,b g/kg,,mass %,,c,mol/kg,c,phase,
-2 . 48,,1 . 8,,1 . 68,,0 . 10,,5.5,,5.12,,,"0,52",,A + B,
-2 . 10,,o . o,,o . o,,"0 , 0",,6 . 1,,"5 , 7 5",,,"0 , 58",,B,
-1 . 21,,4 . 2,,4 . 03,,"0 , 27",,o . o,,o . o,,,o . o,,A,
0,,"4 , 58",,4 . 38,,"0 , 27",,o . oo,,"0 , 00",,,o . oo,,A,
,,"2 , 58",,"2 ,37",,"0 ,15",,6 . 43,,"5 , 90",,,"0 , 61",,A + B,
,,o . oo,,o . oo,,"0, 00",,"6 , 93",,6 .48,,,6 . 65,,B,
25,,11 . 9,,10 . 63,,"0 , 7 0",,o . oo,,o . oo,,,o . oo,,A,
,,10 . 7,,9 . 36,,"0, 63",,3 . 60,,3.15,,,0 .34,,I I,
,,"9 , 30",,8 . 00,,"0 , 55",,"6 , 96",,"5 , 99",,,0 . 66,,I I,
,,"8 , 05",,"6 , 65",,"0 , 47",,13 . 0,,10.74,,,1 .23,,"""",
,,"7 , 01",,"5 , 54",,"0 ,41",,19 . 4,,"15 , 35",,,1 . 83,,I I,
,,"5 , 7 9",,4 . 33,,"0 , 34",,28 . 0,,"20 , 93",,,"2 , 64",,A + B,
,,3 . 44,,"2 , 61",,"0 , 20",,28 . 5,,"21 , 60",,,"2 , 69",,B,
,,o . oo,,o . oo,,"0 , 00",,29 .4,,22.72,,,2 . 7 7,,"""",
40,,"20, 8",,17 . 22,,1 . 22,,o . oo,,o . oo,,,"0 , 00",,A,
,,15 . 1,,1 1 . 60,,"0 , 89",,15 . 1,,11 . 60,,,1 . 42,,"""",
,,11 . 6,,"7 , 91",,"0 , 68",,3 5 . 0,,"23 ,87",,,3 . 3 0,,"""",
,,11.l,,"7 , 20",,"0 , 65",,4 3 . 1,,"27 , 95",,,"4 , 07",,A +  C,
,,o . o,,o . o,,9 . 0,,49 . 2,,"32 , 98",,,"4 , 64",,C,
