0,1,2,3,4,5,6,7,8,9,10,11
:t/ • c .,mas s%,mo1%,a mol/kg,,phase,:ti • c .,mass%,mo1%,a mol/kg,phase,b
-4.2,16.78,2.04,1.16,,ice,8.2,69.09,c 18.75,12.83,A,
- 6.4,23.60,3.09,1.77,,I I,0,s1. as,C 12.01,7.62,B,
-9,29.61,4.17,2.41,,I I,10.0,59.08,12.96,8.28,I I,
-11.7,34.10,5.07,2.97,,I I,15.0,60.16,13.49,8.66,B,
-13.5,36.78,5.67,3.33,,ice + A,20.0,61.52,14.16,9.17,t i,
0,46.11,8.12,4.91,,A,25.0,62.74,14.83,9.66,I I,
4.95,50.12,"9,40",5.76,,I I,30.0,64.13,15.60,10.26,I I,
"9,7",54.43,10.99,6.85,,I I,35,65.68,16.51,10.98,t i,
13.15 14.3,57.89  -----,12.44 -----,-7-.89 --,,I I  A + B,39. S  44,67.5469.83,17.6819.29,11.9413.28,I I  t i,
14.6,60.82,13.82,8.91,,Ac,46,71.26,20.42,14.23,t i,
14.85,71.73,14.29,9.26,,I I,51,72.64,21.55,15.24,C,
14.7,62.96,14.94,9.75,,I I,56,72.50,21.38,15.13,t i,
12.8,65.95,16.68,11.11,,t i,63,72.79,21.66,15.35,t i,
